SFreq  File No.  Pos	Height				Freq
90.0	10	281	13.670139		91.09765625
90.0	10	487	21.745789		91.90234375
91.0	11	29	10.408478		91.11328125
91.0	11	231	22.853031		91.90234375
91.0	11	433	13.58429		92.69140625
91.0	11	453	7.574272		92.76953125
92.0	12	179	16.685638		92.69921875
92.0	12	490	9.620716		93.9140625
93.0	13	13	10.075714		93.05078125
93.0	13	334	16.470493		94.3046875
93.0	13	497	16.422924		94.94140625
94.0	14	79	15.074654		94.30859375
94.0	14	255	19.327652		94.99609375
95.0	15	9	14.562744		95.03515625
97.0	17	313	5.416813		98.22265625
97.0	17	333	23.824238		98.30078125
98.0	18	77	23.09132		98.30078125
99.0	19	22	7.507652		99.0859375
100.0	20	282	19.264317		101.1015625
101.0	21	26	17.022552		101.1015625
171.0	91	461	5.873619		172.80078125
172.0	92	205	5.865524		172.80078125
195.0	115	317	17.685383		196.23828125
196.0	116	61	16.9571		196.23828125
