SFreq	File_No	Pos	Height	Freq
83.0	3	129	0.1058	83.5
83.0	3	262	0.1002	84.02
83.0	3	395	0.1117	84.54
84.0	4	140	0.1027	84.55
84.0	4	273	0.1135	85.07
84.0	4	406	0.1143	85.59
85.0	5	418	0.1022	86.63
86.0	6	295	0.1018	87.15
86.0	6	428	0.1044	87.67
87.0	7	306	0.1013	88.2
87.0	7	439	0.1114	88.71
88.0	8	182	0.1002	88.71
88.0	8	315	0.105	89.23
88.0	8	448	0.1221	89.75
89.0	9	20	0.4319	89.08
90.0	10	277	9.7716	91.08
90.0	10	487	6.9075	91.9
91.0	11	25	4.1688	91.1
91.0	11	232	11.3082	91.91
91.0	11	440	9.5829	92.72
92.0	12	159	0.7877	92.62
92.0	12	192	7.2694	92.75
92.0	12	489	0.4535	93.91
93.0	13	6	0.8598	93.02
93.0	13	333	5.3912	94.3
93.0	13	506	1.5818	94.98
94.0	14	77	3.6088	94.3
94.0	14	253	3.709	94.99
95.0	15	9	0.6503	95.04
95.0	15	510	0.4747	96.99
97.0	17	330	22.7797	98.29
98.0	18	77	45.9256	98.3
98.0	18	479	0.144	99.87
99.0	19	223	0.264	99.87
100.0	20	285	1.2095	101.11
101.0	21	26	1.5725	101.1
119.0	39	257	0.2461	120.0
123.0	43	474	0.3022	124.85
124.0	44	219	0.4343	124.86
171.0	91	385	0.5989	172.5
171.0	91	461	0.4628	172.8
172.0	92	129	0.2655	172.5
172.0	92	205	0.5083	172.8
195.0	115	317	59.2716	196.24
196.0	116	61	45.5264	196.24
200.0	120	410	0.3128	201.6
200.0	120	445	0.6151	201.74
201.0	121	154	0.3158	201.6
201.0	121	189	0.3706	201.74
229.0	149	358	0.1343	230.4
230.0	150	102	0.1577	230.4
258.0	178	307	0.1545	259.2
259.0	179	51	0.1299	259.2
278.0	198	313	0.1061	279.22
282.0	202	212	0.1187	282.83
296.0	216	313	0.1559	297.22
