SFreq	File_No	Pos	Height	Freq
90.0	10	486	11.8766	91.9
91.0	11	230	8.4001	91.9
92.0	12	489	0.2435	93.91
93.0	13	2	1.1255	93.01
93.0	13	333	15.5875	94.3
93.0	13	509	1.1361	94.99
94.0	14	77	22.1267	94.3
94.0	14	265	5.6353	95.04
95.0	15	10	1.3341	95.04
97.0	17	314	1.4539	98.23
97.0	17	337	3.6418	98.32
98.0	18	81	3.9574	98.32
114.0	34	307	0.8732	115.2
119.0	39	255	0.1266	120.0
124.0	44	170	0.1065	124.66
171.0	91	385	0.2067	172.5
171.0	91	461	0.5434	172.8
172.0	92	129	0.1322	172.5
172.0	92	205	0.6166	172.8
200.0	120	410	0.3701	201.6
201.0	121	154	0.3615	201.6
263.0	183	255	0.3476	264.0
278.0	198	313	0.1044	279.22
279.0	199	378	0.1823	280.48
280.0	200	122	0.1975	280.48
282.0	202	212	0.1227	282.83
296.0	216	313	0.1466	297.22
