SFreq	File_No	Pos	Height	Freq
89.0	9	21	0.6239	89.08
90.0	10	281	11.7302	91.1
90.0	10	487	16.272	91.9
91.0	11	26	7.0166	91.1
91.0	11	231	31.6794	91.9
91.0	11	415	0.4891	92.62
91.0	11	435	56.1546	92.7
91.0	11	455	0.8523	92.78
92.0	12	159	0.409	92.62
92.0	12	179	52.8087	92.7
92.0	12	487	1.3663	93.9
93.0	13	333	16.0285	94.3
93.0	13	495	0.9949	94.93
94.0	14	77	17.5196	94.3
94.0	14	257	5.1518	95.0
95.0	15	11	1.2687	95.04
95.0	15	498	0.2237	96.95
97.0	17	333	10.2511	98.3
98.0	18	78	9.4176	98.3
99.0	19	17	0.3369	99.07
100.0	20	284	6.4999	101.11
101.0	21	26	7.5836	101.1
114.0	34	307	0.6341	115.2
115.0	35	51	0.5495	115.2
119.0	39	255	0.2631	120.0
167.0	87	255	0.3242	168.0
171.0	91	461	0.4782	172.8
172.0	92	129	0.1215	172.5
172.0	92	205	0.5437	172.8
195.0	115	317	64.1492	196.24
196.0	116	61	61.4395	196.24
200.0	120	410	0.3675	201.6
200.0	120	445	0.2521	201.74
201.0	121	154	0.3711	201.6
201.0	121	189	0.2614	201.74
259.0	179	51	0.1144	259.2
263.0	183	255	0.2011	264.0
278.0	198	313	0.1053	279.22
282.0	202	212	0.1218	282.83
296.0	216	313	0.1472	297.22
