SFreq	File_No	Pos	Height	Freq
89.0	9	16	0.7348	89.06
90.0	10	282	10.9652	91.1
90.0	10	485	45.2238	91.89
91.0	11	27	5.2722	91.11
91.0	11	231	77.4035	91.9
91.0	11	435	87.707	92.7
91.0	11	467	0.1028	92.82
92.0	12	178	68.5846	92.7
92.0	12	489	3.165	93.91
93.0	13	331	50.4205	94.29
93.0	13	503	13.714	94.96
94.0	14	77	75.2532	94.3
94.0	14	255	39.0195	95.0
95.0	15	9	10.4725	95.04
95.0	15	160	0.1555	95.62
97.0	17	335	86.2903	98.31
98.0	18	79	99.7095	98.31
99.0	19	26	1.2085	99.1
100.0	20	282	25.802	101.1
101.0	21	26	12.0048	101.1
114.0	34	307	0.644	115.2
171.0	91	461	0.5426	172.8
172.0	92	205	0.6015	172.8
195.0	115	317	13.5885	196.24
196.0	116	61	14.6773	196.24
200.0	120	410	0.3485	201.6
200.0	120	445	0.2686	201.74
201.0	121	154	0.3436	201.6
201.0	121	190	0.2849	201.74
258.0	178	307	0.1694	259.2
259.0	179	51	0.1396	259.2
263.0	183	255	0.226	264.0
278.0	198	313	0.1027	279.22
282.0	202	212	0.1201	282.83
287.0	207	255	0.1063	288.0
296.0	216	313	0.1499	297.22
