SFreq	File_No	Pos	Height	Freq
82.0	1	467	1.4363	83.82
90.0	5	281	12.4904	91.1
90.0	5	485	17.8176	91.89
92.0	6	178	9.5056	92.7
92.0	6	492	8.0662	93.92
94.0	7	77	15.2474	94.3
94.0	7	240	5.8357	94.94
94.0	7	264	8.0782	95.03
98.0	9	77	17.121	98.3
98.0	9	97	10.4447	98.38
100.0	10	279	17.3993	101.09
172.0	46	205	4.6835	172.8
200.0	60	410	3.7499	201.6
230.0	75	102	1.3999	230.4
258.0	89	307	1.1173	259.2
260.0	90	313	1.0759	261.22
264.0	92	212	1.0273	264.83
278.0	99	313	1.5982	279.22
280.0	100	122	1.6944	280.48
282.0	101	212	1.7775	282.83
296.0	108	313	2.2513	297.22
