SFreq	File_No	Pos	Height	Freq
83.0	3	188	0.1178	83.73
83.0	3	322	0.106	84.26
83.0	3	455	0.1245	84.78
89.0	9	13	0.5623	89.05
90.0	10	281	12.9698	91.1
90.0	10	489	9.8081	91.91
91.0	11	25	7.6187	91.1
91.0	11	230	25.0293	91.9
91.0	11	416	2.3894	92.62
91.0	11	438	9.1286	92.71
92.0	12	179	12.7991	92.7
92.0	12	490	0.6136	93.91
93.0	13	333	22.5365	94.3
93.0	13	495	1.5891	94.93
94.0	14	76	8.6946	94.3
94.0	14	257	6.103	95.0
95.0	15	17	1.0304	95.07
95.0	15	495	0.2262	96.93
97.0	17	334	4.8328	98.3
98.0	18	77	22.4261	98.3
99.0	19	18	0.2609	99.07
100.0	20	285	4.5943	101.11
101.0	21	29	2.5378	101.11
114.0	34	307	1.4177	115.2
119.0	39	255	0.3158	120.0
167.0	87	255	0.1106	168.0
171.0	91	461	0.4889	172.8
172.0	92	205	0.5255	172.8
195.0	115	317	55.7598	196.24
196.0	116	61	54.6916	196.24
200.0	120	410	0.3583	201.6
200.0	120	445	0.6725	201.74
201.0	121	154	0.345	201.6
201.0	121	189	0.8253	201.74
259.0	179	51	0.1262	259.2
263.0	183	255	0.4647	264.0
278.0	198	313	0.1052	279.22
282.0	202	212	0.1212	282.83
296.0	216	313	0.1592	297.22
