SFreq	File_No	Pos	Height	Freq
81.0	1	58	0.1008	81.23
89.0	9	20	0.3792	89.08
90.0	10	281	5.8644	91.1
90.0	10	489	3.4622	91.91
91.0	11	23	1.8841	91.09
91.0	11	233	4.8949	91.91
91.0	11	415	0.5983	92.62
91.0	11	442	5.2491	92.73
92.0	12	169	3.0193	92.66
92.0	12	191	8.0238	92.75
92.0	12	493	0.2317	93.93
93.0	13	333	1.694	94.3
93.0	13	509	1.6108	94.99
94.0	14	77	3.3041	94.3
94.0	14	257	5.5352	95.0
95.0	15	11	0.81	95.04
97.0	17	333	34.0935	98.3
98.0	18	77	51.0702	98.3
99.0	19	26	0.3256	99.1
100.0	20	282	6.6121	101.1
101.0	21	26	7.4276	101.1
114.0	34	307	0.6431	115.2
115.0	35	51	0.5259	115.2
119.0	39	257	0.3175	120.0
122.0	42	448	0.2107	123.75
157.0	77	294	0.2134	158.15
158.0	78	282	0.1059	159.1
161.0	81	435	0.7621	162.7
162.0	82	179	2.081	162.7
171.0	91	385	1.3018	172.5
171.0	91	461	0.4037	172.8
172.0	92	129	0.3702	172.5
172.0	92	205	0.4414	172.8
195.0	115	317	10.176	196.24
196.0	116	61	12.7517	196.24
200.0	120	410	0.3733	201.6
200.0	120	445	0.3582	201.74
201.0	121	154	0.3328	201.6
201.0	121	190	0.2094	201.74
258.0	178	307	0.1798	259.2
259.0	179	51	0.1454	259.2
282.0	202	212	0.1207	282.83
296.0	216	313	0.1461	297.22
