SFreq	File_No	Pos	Height	Freq
90.0	10	487	1.7628	91.9
91.0	11	234	2.5785	91.91
93.0	13	1	0.7083	93.0
93.0	13	331	4.0735	94.29
94.0	14	76	5.1631	94.3
94.0	14	239	0.3061	94.93
94.0	14	260	3.3721	95.02
95.0	15	12	0.8228	95.05
97.0	17	327	2.6881	98.28
98.0	18	70	2.3214	98.27
98.0	18	96	0.9725	98.38
119.0	39	255	0.1762	120.0
171.0	91	385	0.1773	172.5
171.0	91	461	0.5927	172.8
172.0	92	129	0.3676	172.5
172.0	92	205	0.6847	172.8
195.0	115	317	7.2868	196.24
196.0	116	61	1.879	196.24
200.0	120	410	0.4406	201.6
200.0	120	447	0.3258	201.75
201.0	121	154	0.4418	201.6
201.0	121	191	0.3592	201.75
258.0	178	307	0.1645	259.2
259.0	179	51	0.1208	259.2
263.0	183	255	0.1503	264.0
278.0	198	313	0.104	279.22
282.0	202	212	0.1196	282.83
296.0	216	313	0.1487	297.22
