SFreq	File_No	Pos	Height	Freq
82.0	1	467	1.2672	83.82
86.0	3	102	1.3415	86.4
90.0	5	282	23.8982	91.1
90.0	5	439	1.2293	91.71
90.0	5	487	30.3028	91.9
92.0	6	107	1.0044	92.42
92.0	6	127	1.3605	92.5
92.0	6	176	26.9664	92.69
92.0	6	199	19.3921	92.78
92.0	6	226	1.4838	92.88
92.0	6	248	1.0622	92.97
92.0	6	458	1.0496	93.79
92.0	6	490	20.8671	93.91
94.0	7	14	1.2015	94.05
94.0	7	77	29.7442	94.3
94.0	7	128	1.2632	94.5
94.0	7	188	1.4169	94.73
94.0	7	255	30.4785	95.0
94.0	7	335	1.0628	95.31
94.0	7	417	1.3405	95.63
98.0	9	77	29.8171	98.3
100.0	10	282	27.0306	101.1
114.0	17	307	3.0052	115.2
140.0	30	61	1.6996	140.24
150.0	35	44	2.452	150.17
172.0	46	129	1.1052	172.5
172.0	46	205	7.5368	172.8
196.0	58	61	17.6368	196.24
200.0	60	410	4.574	201.6
200.0	60	445	6.3421	201.74
230.0	75	102	1.7064	230.4
258.0	89	307	4.6585	259.2
264.0	92	212	1.1187	264.83
278.0	99	313	1.6515	279.22
282.0	101	212	1.7162	282.83
296.0	108	313	2.1676	297.22
