SFreq	File_No	Pos	Height	Freq
89.0	9	18	0.3157	89.07
90.0	10	279	5.2587	91.09
90.0	10	469	1.0696	91.83
90.0	10	493	1.2712	91.93
91.0	11	35	1.8467	91.14
91.0	11	221	1.3432	91.86
91.0	11	248	0.7375	91.97
91.0	11	436	1.1725	92.7
92.0	12	180	1.6028	92.7
92.0	12	494	0.1607	93.93
93.0	13	1	0.8302	93.0
93.0	13	330	6.5263	94.29
93.0	13	496	0.4222	94.94
94.0	14	77	24.3716	94.3
94.0	14	267	10.4143	95.04
95.0	15	14	1.3247	95.05
97.0	17	325	18.6469	98.27
98.0	18	70	19.5355	98.27
114.0	34	307	0.7049	115.2
115.0	35	51	0.5668	115.2
119.0	39	257	0.3301	120.0
171.0	91	385	0.1132	172.5
171.0	91	461	0.5056	172.8
172.0	92	205	0.5723	172.8
195.0	115	317	21.8602	196.24
196.0	116	61	20.6533	196.24
200.0	120	410	0.3174	201.6
200.0	120	446	0.4021	201.74
201.0	121	154	0.3126	201.6
201.0	121	190	0.3499	201.74
263.0	183	255	0.2037	264.0
278.0	198	313	0.1032	279.22
279.0	199	378	0.157	280.48
280.0	200	122	0.1735	280.48
282.0	202	212	0.1185	282.83
296.0	216	313	0.1504	297.22
