SFreq	File_No	Pos	Height	Freq
81.0	1	58	1.2486	81.23
82.0	2	467	1.2223	83.82
85.0	5	358	1.1047	86.4
89.0	9	23	4.4132	89.09
90.0	10	281	13.6701	91.1
90.0	10	487	21.7458	91.9
91.0	11	29	10.4085	91.11
91.0	11	231	22.853	91.9
91.0	11	433	13.5843	92.69
91.0	11	453	7.5743	92.77
92.0	12	159	2.9675	92.62
92.0	12	179	16.6856	92.7
92.0	12	490	9.6207	93.91
93.0	13	13	10.0757	93.05
93.0	13	334	16.4705	94.3
93.0	13	497	16.4229	94.94
94.0	14	79	15.0747	94.31
94.0	14	255	19.3277	95.0
95.0	15	9	14.5627	95.04
97.0	17	313	5.4168	98.22
97.0	17	333	23.8242	98.3
98.0	18	77	23.0913	98.3
99.0	19	22	7.5077	99.09
100.0	20	282	19.2643	101.1
101.0	21	26	17.0226	101.1
158.0	78	282	1.5312	159.1
159.0	79	26	1.2327	159.1
171.0	91	461	5.8736	172.8
172.0	92	205	5.8655	172.8
195.0	115	317	17.6854	196.24
196.0	116	61	16.9571	196.24
199.0	119	426	1.5049	200.66
200.0	120	174	1.1133	200.68
200.0	120	410	3.6523	201.6
200.0	120	445	4.2594	201.74
201.0	121	154	3.6044	201.6
201.0	121	189	4.6773	201.74
229.0	149	358	1.3372	230.4
230.0	150	102	1.4702	230.4
258.0	178	307	1.6697	259.2
259.0	179	51	1.3378	259.2
263.0	183	255	1.9362	264.0
264.0	184	212	1.0029	264.83
278.0	198	313	1.5586	279.22
282.0	202	212	1.6777	282.83
296.0	216	313	2.17	297.22
