SFreq	File_No	Pos	Height	Freq
81.0	1	58	0.1013	81.23
89.0	9	26	0.2847	89.1
90.0	10	282	6.4463	91.1
90.0	10	487	2.4838	91.9
91.0	11	26	3.2439	91.1
91.0	11	230	1.3454	91.9
91.0	11	436	1.5459	92.7
92.0	12	180	3.3475	92.7
93.0	13	1	2.3184	93.0
93.0	13	333	2.5074	94.3
93.0	13	495	0.838	94.93
94.0	14	77	2.9281	94.3
94.0	14	241	2.709	94.94
94.0	14	265	6.637	95.04
95.0	15	10	2.4103	95.04
97.0	17	329	15.7068	98.29
98.0	18	74	18.9872	98.29
99.0	19	23	0.3551	99.09
100.0	20	281	6.7779	101.1
101.0	21	27	4.0267	101.11
114.0	34	307	0.8683	115.2
115.0	35	51	0.5495	115.2
119.0	39	255	0.1552	120.0
131.0	51	435	0.1091	132.7
171.0	91	461	0.5024	172.8
172.0	92	205	0.493	172.8
195.0	115	317	17.3731	196.24
196.0	116	61	22.498	196.24
200.0	120	410	0.3587	201.6
201.0	121	154	0.3542	201.6
201.0	121	189	0.1128	201.74
258.0	178	307	0.1114	259.2
263.0	183	255	0.1632	264.0
278.0	198	313	0.1045	279.22
282.0	202	212	0.1199	282.83
296.0	216	313	0.1527	297.22
